#f0 [Hz]	periodicity (0~1)	power [dB]	sonorant power [dB]	high freq. power [dB]	 mid freq. power [dB]	low freq power [dB]	f0 after post-proc. [Hz]	f0 reliability code (0 ~ 13)	a1-a3 [dB]	f1f3syn (-1.0~1.0)	h1-a1 [dB]	breathpow [dB]	ips (-1.0~1.0)	h1-a3 [dB]	f0 after post-proc [semitone]	delta f0 [semitone]	vocal fry detection
114.29	0.739	24.99	23.62	18.96	16.99	23.00	-10000	1	13.56	0.469	-10000	-52.09	-100.00	13.56	-10000	-10000	
114.29	0.840	25.87	24.79	18.97	17.13	24.25	-10000	1	14.68	0.615	-10000	-57.54	-100.00	14.68	-10000	-10000	
115.11	0.774	27.06	25.28	22.22	21.43	24.42	115.07	12	8.94	0.464	0.22	-47.49	-100.00	8.94	45.78	-10000	
116.79	0.762	31.11	28.34	27.82	28.54	24.85	115.07	12	-0.97	0.638	-10000	-47.20	-100.00	-0.97	45.78	-10000	
115.11	0.852	33.21	31.09	29.07	31.26	26.55	114.27	12	-4.36	0.675	-10000	-46.35	-100.00	-4.36	45.66	-10000	
113.48	0.703	33.74	31.79	29.31	32.18	27.24	113.42	12	-1.80	0.665	-4.95	-44.90	-100.00	-6.75	45.53	-6.05	
114.29	0.706	33.71	31.54	29.61	31.83	27.91	113.42	12	1.94	0.473	-7.88	-37.38	-100.00	-5.94	45.53	-6.92	
114.29	0.740	33.02	30.09	29.92	30.47	28.55	113.42	12	3.17	0.526	-7.14	-40.58	-100.00	-3.97	45.53	-4.82	
113.48	0.760	32.47	30.72	27.65	28.78	29.07	112.64	12	8.92	0.417	-7.27	-38.68	-100.00	1.65	45.41	-5.55	
112.68	0.822	33.60	32.31	27.66	30.88	29.42	111.86	12	6.84	0.536	-8.69	-40.54	-100.00	-1.85	45.29	-4.91	
111.89	0.757	33.24	31.81	27.68	29.68	29.70	112.64	13	8.15	0.605	-9.85	-44.54	-100.00	-1.70	45.41	-3.47	
111.89	0.716	33.74	32.01	28.87	30.79	29.55	111.09	12	6.34	0.664	-8.18	-46.24	-100.00	-1.84	45.17	-1.51	
111.89	0.823	33.43	32.58	25.90	30.19	29.80	111.86	12	6.44	0.612	-7.25	-44.34	-100.00	-0.82	45.29	-2.59	
111.89	0.734	33.21	31.94	27.23	30.30	28.56	111.86	12	3.32	0.676	-6.05	-47.36	-100.00	-2.73	45.29	-19.55	
111.11	0.716	33.51	31.97	28.21	32.04	26.00	111.86	12	-2.61	0.665	-2.83	-45.04	-100.00	-5.43	45.29	-20.47	
110.34	0.731	34.12	30.76	31.42	32.65	26.11	110.32	12	-5.75	0.642	-0.23	-43.28	-100.00	-5.98	45.05	-28.21	
109.59	0.710	32.77	29.98	29.50	31.07	26.07	99.94	12	-1.20	0.690	-10000	-47.36	-100.00	-1.20	43.34	-10000	
108.11	0.634	30.91	28.02	27.71	28.70	24.67	107.36	12	0.31	0.475	-10000	-40.58	-100.00	0.31	44.58	-10000	
108.84	0.362	26.80	23.85	23.61	25.59	-10000	-10000	1	2.26	0.610	-10000	-48.85	-100.00	2.26	-10000	-10000	
49.23	0.684	21.61	17.49	19.16	18.78	-10000	-10000	1	3.16	0.546	-10000	-53.02	-100.00	3.16	-10000	-10000	
50.63	0.802	19.83	14.74	17.95	15.94	-10000	-10000	1	4.92	0.491	9.55	-53.88	-100.00	4.92	-10000	-10000	
50.96	0.865	19.70	13.80	18.11	15.33	-10000	-10000	1	3.34	0.610	10.31	-59.11	-100.00	3.34	-10000	-10000	
50.63	0.795	19.80	13.52	18.39	15.69	-10000	-10000	1	3.65	0.628	8.66	-59.57	-100.00	3.65	-10000	-10000	
49.38	1.021	19.92	13.66	18.50	13.42	10.59	-10000	1	4.92	0.436	8.42	-54.61	-100.00	4.92	-10000	-10000	
-10000	-10000	24.10	16.60	23.12	21.99	-10000	-10000	1	-5.15	0.493	8.38	-47.89	-100.00	-5.15	-10000	-10000	
50.79	0.920	41.86	31.79	41.41	40.21	18.06	-10000	5	-20.35	0.664	-4.88	-36.82	-100.00	-27.12	-10000	-10000	
-10000	-10000	44.87	33.18	44.57	40.01	-10000	-10000	0	-17.37	0.517	-4.51	-30.72	-100.00	-27.95	-10000	-10000	
49.54	0.546	36.73	26.62	36.28	31.94	-10000	-10000	0	-11.14	0.088	-0.17	-29.51	-100.00	-14.40	-10000	-10000	
-10000	-10000	28.26	26.71	22.92	19.91	26.02	-10000	5	3.36	0.524	-2.45	-51.07	-100.00	0.91	-10000	-10000	
107.38	0.433	28.30	26.95	22.32	23.74	25.00	112.64	12	7.27	0.628	-3.30	-51.52	-100.00	3.98	45.41	-10000	
107.38	0.591	27.52	25.49	23.17	23.08	23.75	107.36	12	5.07	0.495	-2.30	-46.87	-100.00	2.76	44.58	-10000	
105.96	0.682	27.75	25.89	22.96	23.38	23.80	105.21	12	8.09	0.468	-3.42	-45.67	-100.00	4.67	44.23	-10000	
104.58	0.624	27.82	26.26	22.57	24.07	23.67	104.55	12	7.13	0.588	-5.56	-49.42	-100.00	1.57	44.12	-10000	
103.90	0.683	29.86	28.75	23.15	27.81	23.74	-10000	0	1.27	0.520	-4.54	-43.03	0.37	-3.27	-10000	-10000	
102.56	0.608	30.10	29.12	23.08	28.53	23.04	-10000	6	-3.02	0.545	-4.06	-43.23	-100.00	-7.09	-10000	-10000	
101.91	0.608	30.85	29.10	25.94	29.54	22.32	-10000	0	-1.52	0.592	-1.89	-44.12	-100.00	-3.41	-10000	-10000	
50.63	0.984	29.69	27.84	25.05	28.23	21.44	-10000	0	-2.38	0.567	-3.81	-44.40	-100.00	-6.19	-10000	-10000	
101.27	0.590	26.45	23.93	22.71	23.63	20.95	-10000	1	2.22	0.589	-2.64	-49.90	-100.00	-0.43	-10000	-10000	
100.63	0.556	25.84	23.85	21.39	22.02	21.31	-10000	1	3.79	0.592	-2.06	-51.64	-100.00	1.73	-10000	-10000	
100.63	0.573	26.80	24.45	22.83	23.54	21.18	-10000	1	4.39	0.611	-0.33	-50.95	-100.00	4.06	-10000	-10000	
50.00	0.980	27.55	25.79	22.70	25.56	20.70	-10000	5	-0.34	0.711	-2.38	-54.09	0.26	-2.72	-10000	-10000	
101.91	0.540	26.65	24.77	21.83	23.94	20.81	-10000	1	1.49	0.679	-2.41	-53.88	-100.00	-0.92	-10000	-10000	
104.58	0.561	26.73	24.42	22.82	23.63	21.47	-10000	1	3.52	0.554	-1.88	-48.48	-100.00	1.64	-10000	-10000	
104.58	0.607	26.48	24.51	21.85	23.62	21.45	-10000	1	2.64	0.500	-1.99	-46.51	-100.00	0.64	-10000	-10000	
102.56	0.583	29.66	27.84	24.95	28.21	21.84	-10000	0	-3.88	0.706	-10000	-51.14	0.35	-3.88	-10000	-10000	
102.56	0.586	29.00	26.06	25.83	27.34	20.95	-10000	6	-4.19	0.527	0.17	-43.75	-100.00	-4.19	-10000	-10000	
100.63	0.453	28.77	23.57	27.18	27.91	-10000	-10000	1	-6.27	0.573	-0.91	-44.96	-100.00	-7.18	-10000	-10000	
50.63	0.740	28.91	20.56	28.20	24.49	17.74	-10000	1	-5.57	0.468	0.12	-44.56	-100.00	-5.57	-10000	-10000	
50.47	0.837	29.53	18.64	29.13	26.29	-10000	-10000	1	-7.37	0.553	2.76	-45.78	-100.00	-7.37	-10000	-10000	
50.79	0.907	29.56	17.31	29.27	27.27	-10000	-10000	1	-9.28	0.604	5.80	-46.91	-100.00	-9.28	-10000	-10000	
52.29	0.792	34.16	18.25	34.03	30.48	-10000	-10000	1	-12.11	0.604	6.31	-43.70	-100.00	-12.11	-10000	-10000	
50.63	0.880	34.45	19.55	34.30	29.94	-10000	-10000	1	-10.31	0.472	11.82	-39.24	-100.00	-10.31	-10000	-10000	
52.63	0.807	38.56	20.52	38.49	35.43	-10000	-10000	1	-17.38	0.549	1.23	-36.49	-100.00	-17.38	-10000	-10000	
52.46	0.744	41.15	22.01	41.10	34.05	-10000	-10000	1	-16.53	0.365	6.99	-31.92	-100.00	-16.53	-10000	-10000	
52.46	0.740	40.79	26.94	40.60	35.97	-10000	-10000	0	-15.48	0.516	10.10	-34.72	-100.00	-15.48	-10000	-10000	
122.14	0.364	38.61	27.81	38.23	35.60	-10000	-10000	0	-12.78	0.355	5.22	-30.10	-100.00	-12.78	-10000	-10000	
55.56	0.644	31.41	26.04	29.91	29.74	-10000	-10000	0	-5.03	0.554	-1.69	-42.37	-100.00	-6.71	-10000	-10000	
111.89	0.545	26.86	24.10	23.44	24.25	21.08	-10000	1	-1.84	0.464	-1.53	-44.67	-100.00	-3.38	-10000	-10000	
108.84	0.513	26.93	24.50	23.19	24.03	21.80	-10000	1	-0.68	0.559	-0.40	-48.28	-100.00	-1.08	-10000	-10000	
108.84	0.491	26.33	24.03	22.31	22.63	21.73	-10000	1	5.19	0.492	-3.04	-47.22	-100.00	2.15	-10000	-10000	
105.96	0.444	26.34	24.49	21.52	22.50	21.75	-10000	1	6.37	0.536	-0.49	-48.92	-100.00	5.88	-10000	-10000	
52.12	0.866	25.16	23.07	20.77	20.75	20.53	-10000	1	5.90	0.484	-3.78	-48.83	-100.00	2.12	-10000	-10000	
51.12	0.731	25.23	22.92	21.13	23.65	-10000	-10000	1	5.88	0.704	-4.73	-55.58	-100.00	1.14	-10000	-10000	
51.45	0.937	24.23	22.07	20.04	19.64	19.20	-10000	1	9.10	0.616	-4.84	-55.07	-100.00	4.25	-10000	-10000	
50.96	0.767	24.11	22.13	19.40	22.36	-10000	-10000	1	10.50	0.521	-3.55	-48.51	-100.00	6.95	-10000	-10000	
50.96	0.674	21.60	18.52	18.49	19.06	-10000	-10000	1	7.82	0.524	-0.05	-51.92	-100.00	7.77	-10000	-10000	
50.47	0.801	19.89	14.79	17.91	16.03	-10000	-10000	1	6.18	0.434	5.65	-51.94	-100.00	6.18	-10000	-10000	
52.81	0.691	19.87	15.26	17.62	13.28	13.48	-10000	1	8.09	0.482	12.85	-56.23	-100.00	8.09	-10000	-10000	
52.12	0.918	19.32	13.76	17.63	14.71	-10000	-10000	1	4.50	0.538	5.95	-56.79	-100.00	4.50	-10000	-10000	
-10000	-10000	19.71	15.10	17.43	14.58	10.92	-10000	1	5.56	0.512	7.21	-55.97	-100.00	5.56	-10000	-10000	
49.08	0.814	34.12	31.76	30.33	32.03	11.92	-10000	0	-4.09	0.812	-1.78	-55.09	-100.00	-9.25	-10000	-10000	
51.12	0.580	39.37	37.78	34.23	37.99	16.19	-10000	0	-5.84	0.804	-6.36	-48.40	-100.00	-16.09	-10000	-10000	
149.53	0.327	33.19	31.35	28.53	20.75	31.17	-10000	0	-9.02	0.674	3.14	-56.81	-100.00	-11.23	-10000	-10000	
50.96	0.761	29.55	26.97	25.95	27.22	14.36	-10000	5	-8.19	0.616	7.80	-47.49	-100.00	-8.19	-10000	-10000	
145.45	0.414	26.00	23.04	22.83	23.96	-10000	-10000	1	-4.27	0.498	6.65	-46.10	0.37	-4.27	-10000	-10000	
-10000	-10000	26.14	24.59	20.64	24.95	-10000	-10000	1	-1.85	0.499	-0.97	-45.14	-100.00	-2.82	-10000	-10000	
-10000	-10000	28.45	26.14	24.51	27.34	-10000	-10000	0	0.29	0.722	-7.79	-52.98	0.35	-7.49	-10000	-10000	
51.78	0.735	28.44	26.12	24.56	27.40	-10000	-10000	5	-5.84	0.727	-2.03	-53.24	-100.00	-7.88	-10000	-10000	
54.79	0.497	25.68	22.87	22.22	24.15	-10000	-10000	1	-5.03	0.710	-1.48	-55.44	-100.00	-6.51	-10000	-10000	
54.98	0.762	28.01	25.17	24.76	26.44	17.26	-10000	0	-8.54	0.674	-0.79	-51.12	0.45	-9.33	-10000	-10000	fr
115.11	0.357	28.23	24.86	25.44	25.98	18.60	-10000	1	-3.65	0.674	-0.78	-51.58	-100.00	-4.43	-10000	-10000	fr
115.94	0.425	28.19	26.02	24.02	26.13	19.73	-10000	5	0.43	0.695	-1.84	-52.58	-100.00	-1.41	-10000	-10000	fr
116.79	0.453	28.02	25.17	24.77	24.14	23.87	-10000	5	-3.44	0.613	-0.62	-50.44	-100.00	-4.06	-10000	-10000	fr
