#f0 [Hz]	periodicity (0~1)	power [dB]	sonorant power [dB]	high freq. power [dB]	 mid freq. power [dB]	low freq power [dB]	f0 after post-proc. [Hz]	f0 reliability code (0 ~ 13)	a1-a3 [dB]	f1f3syn (-1.0~1.0)	h1-a1 [dB]	breathpow [dB]	ips (-1.0~1.0)	h1-a3 [dB]	f0 after post-proc [semitone]	delta f0 [semitone]	vocal fry detection
49.54	0.894	24.97	19.91	23.28	22.29	-10000	-10000	1	-3.13	0.474	5.29	-44.80	-100.00	-3.13	-10000	-10000	
144.14	0.336	24.60	19.92	22.69	21.72	-10000	-10000	1	1.01	0.501	8.47	-46.28	-100.00	1.01	-10000	-10000	
50.63	0.908	25.00	20.44	23.05	21.74	-10000	-10000	1	-1.40	0.474	5.68	-45.35	-100.00	-1.40	-10000	-10000	
50.63	0.726	25.27	19.54	23.82	21.65	-10000	-10000	1	-2.17	0.584	6.08	-49.51	-100.00	-2.17	-10000	-10000	
49.54	0.943	23.37	19.48	20.97	20.90	-10000	-10000	1	-0.66	0.582	10.22	-50.18	-100.00	-0.66	-10000	-10000	
50.96	0.673	23.74	19.56	21.51	20.53	11.00	-10000	1	-0.52	0.636	8.31	-52.95	-100.00	-0.52	-10000	-10000	
49.23	0.907	22.94	17.52	21.35	19.10	10.14	-10000	1	-0.64	0.461	9.01	-47.56	-100.00	-0.64	-10000	-10000	
50.47	0.825	22.61	18.71	20.19	20.13	-10000	-10000	1	-0.76	0.585	7.95	-51.07	-100.00	-0.76	-10000	-10000	
50.79	0.735	22.86	18.78	20.54	19.95	10.80	-10000	1	-0.68	0.631	10.19	-53.29	-100.00	-0.68	-10000	-10000	
50.96	0.914	22.64	19.14	19.96	20.27	-10000	-10000	1	2.93	0.536	9.40	-48.99	-100.00	2.93	-10000	-10000	
160.00	0.302	23.27	19.00	21.02	20.09	10.21	-10000	1	0.65	0.549	6.60	-49.67	-100.00	0.65	-10000	-10000	
50.16	0.982	23.22	19.79	20.48	20.60	9.63	-10000	1	1.08	0.573	7.37	-50.11	-100.00	1.08	-10000	-10000	
50.63	0.663	22.68	18.73	20.19	20.12	-10000	-10000	1	1.94	0.576	6.06	-50.71	-100.00	1.94	-10000	-10000	
50.31	0.917	21.95	18.25	19.40	20.03	-10000	-10000	1	-0.61	0.443	6.92	-46.06	-100.00	-0.61	-10000	-10000	
50.16	0.834	21.63	16.73	19.71	18.47	-10000	-10000	1	-1.84	0.469	9.48	-48.45	-100.00	-1.84	-10000	-10000	
50.16	0.764	22.01	17.21	20.06	17.91	10.72	-10000	1	0.32	0.548	7.02	-51.81	-100.00	0.32	-10000	-10000	
50.00	0.939	21.52	17.00	19.44	18.09	-10000	-10000	1	1.57	0.512	3.13	-50.30	-100.00	1.57	-10000	-10000	
50.00	0.758	20.56	16.56	17.97	17.79	-10000	-10000	1	2.35	0.552	6.54	-52.08	-100.00	2.35	-10000	-10000	
50.00	1.030	20.08	14.45	18.48	16.29	-10000	-10000	1	1.53	0.527	8.92	-52.64	-100.00	1.53	-10000	-10000	
50.00	0.710	19.61	14.51	17.60	15.96	-10000	-10000	1	5.99	0.448	10.03	-50.29	-100.00	5.99	-10000	-10000	
50.16	0.894	20.16	16.10	17.69	15.80	11.02	-10000	1	3.64	0.496	6.37	-52.03	-100.00	3.64	-10000	-10000	
50.31	0.838	20.01	15.68	17.73	17.02	-10000	-10000	1	4.06	0.567	6.15	-53.45	-100.00	4.06	-10000	-10000	
49.54	0.854	19.38	14.20	17.48	15.79	-10000	-10000	1	2.93	0.485	5.51	-51.66	-100.00	2.93	-10000	-10000	
50.31	0.956	19.48	13.58	17.99	15.33	-10000	-10000	1	3.88	0.467	7.15	-51.53	-100.00	3.88	-10000	-10000	
50.00	0.734	19.80	14.08	18.06	15.04	9.71	-10000	1	3.36	0.638	8.05	-58.54	-100.00	3.36	-10000	-10000	
50.79	0.970	19.23	13.25	17.79	14.71	-10000	-10000	1	3.22	0.508	9.87	-53.54	-100.00	3.22	-10000	-10000	
50.16	0.756	20.25	13.56	18.90	15.56	-10000	-10000	1	2.92	0.585	6.96	-55.64	-100.00	2.92	-10000	-10000	
50.96	0.905	20.04	14.75	18.32	16.46	-10000	-10000	1	4.60	0.679	7.05	-59.20	-100.00	4.60	-10000	-10000	
50.31	0.843	19.92	14.12	18.28	15.62	-10000	-10000	1	6.05	0.616	6.44	-56.93	0.31	6.05	-10000	-10000	
49.69	0.816	19.27	13.79	17.60	13.30	10.45	-10000	1	7.26	0.582	8.41	-57.78	-100.00	7.26	-10000	-10000	
50.16	0.786	18.85	13.57	16.96	15.09	-10000	-10000	1	2.02	0.536	3.93	-54.17	-100.00	2.02	-10000	-10000	
52.12	0.803	19.33	13.74	17.68	15.06	-10000	-10000	1	4.62	0.557	6.92	-55.01	-100.00	4.62	-10000	-10000	
49.69	0.861	19.76	14.52	17.95	15.43	-10000	-10000	1	2.31	0.475	4.89	-51.69	-100.00	2.31	-10000	-10000	
49.69	0.840	19.67	14.06	18.00	15.59	-10000	-10000	1	3.39	0.544	8.82	-53.98	-100.00	3.39	-10000	-10000	
49.84	0.856	19.46	13.56	17.86	14.97	-10000	-10000	1	3.53	0.561	8.38	-55.26	-100.00	3.53	-10000	-10000	
50.47	0.864	19.50	13.68	17.91	15.01	-10000	-10000	1	4.36	0.618	9.06	-57.63	-100.00	4.36	-10000	-10000	
50.00	0.975	20.16	14.26	18.66	15.13	-10000	-10000	1	2.18	0.654	6.94	-59.23	-100.00	2.18	-10000	-10000	
49.84	0.794	20.04	13.18	18.76	14.56	-10000	-10000	1	5.88	0.438	7.12	-51.38	0.23	5.88	-10000	-10000	
50.47	0.807	20.95	15.22	19.36	17.19	-10000	-10000	1	2.74	0.582	6.21	-53.89	-100.00	2.74	-10000	-10000	
50.63	0.925	19.74	14.47	17.96	14.34	10.49	-10000	1	6.55	0.588	5.99	-56.99	-100.00	6.55	-10000	-10000	
50.16	0.813	19.67	13.51	18.18	14.61	-10000	-10000	1	4.87	0.523	7.64	-54.17	-100.00	4.87	-10000	-10000	
50.00	1.003	19.44	13.82	17.85	15.01	-10000	-10000	1	4.20	0.669	6.69	-60.12	0.44	4.20	-10000	-10000	
50.16	0.784	19.44	13.39	17.84	15.01	-10000	-10000	1	0.65	0.568	6.52	-55.50	-100.00	0.65	-10000	-10000	
50.47	0.970	19.07	13.41	17.47	15.24	-10000	-10000	1	4.63	0.562	7.49	-55.03	-100.00	4.63	-10000	-10000	
50.00	0.831	20.13	13.57	18.77	14.56	9.45	-10000	1	2.51	0.598	6.94	-57.20	-100.00	2.51	-10000	-10000	
50.63	0.895	20.26	13.36	19.09	15.67	-10000	-10000	1	3.95	0.542	7.47	-53.82	-100.00	3.95	-10000	-10000	
50.00	0.896	20.29	13.98	18.91	15.45	-10000	-10000	1	2.68	0.572	4.58	-55.22	-100.00	2.68	-10000	-10000	
49.84	0.775	20.01	13.77	18.58	15.69	-10000	-10000	1	2.66	0.494	6.34	-52.07	-100.00	2.66	-10000	-10000	
49.84	0.974	19.29	13.52	17.73	14.48	-10000	-10000	1	7.07	0.391	9.50	-50.06	-100.00	7.07	-10000	-10000	
50.16	0.770	19.24	13.97	17.39	15.50	-10000	-10000	1	7.47	0.529	7.74	-53.50	-100.00	7.47	-10000	-10000	
50.31	0.921	19.43	14.22	17.63	15.37	-10000	-10000	1	5.18	0.531	7.07	-53.71	-100.00	5.18	-10000	-10000	
51.12	0.842	18.97	13.88	17.00	15.38	-10000	-10000	1	4.01	0.535	9.16	-53.85	-100.00	4.01	-10000	-10000	
50.16	0.840	19.71	15.31	17.37	15.86	8.30	-10000	1	2.67	0.540	5.55	-53.55	-100.00	2.67	-10000	-10000	
50.47	0.904	19.81	14.28	18.17	14.48	9.53	-10000	1	3.34	0.485	6.24	-52.97	-100.00	3.34	-10000	-10000	
50.16	0.828	19.88	14.40	18.13	15.51	-10000	-10000	1	6.31	0.560	6.52	-54.68	-100.00	6.31	-10000	-10000	
50.00	0.975	19.54	13.51	18.10	15.13	-10000	-10000	1	5.39	0.547	7.76	-54.55	-100.00	5.39	-10000	-10000	
50.16	0.871	20.03	13.78	18.59	15.87	-10000	-10000	1	2.53	0.671	7.41	-59.37	-100.00	2.53	-10000	-10000	
50.31	0.839	20.09	13.97	18.63	13.97	9.52	-10000	1	5.23	0.575	8.24	-56.82	-100.00	5.23	-10000	-10000	
50.63	0.879	20.70	15.25	19.04	16.41	-10000	-10000	1	2.84	0.688	4.38	-59.75	-100.00	2.84	-10000	-10000	
49.84	0.821	21.03	14.80	19.59	17.31	-10000	-10000	1	0.39	0.647	4.88	-56.70	-100.00	0.39	-10000	-10000	
50.16	0.842	20.94	14.98	19.46	16.56	10.05	-10000	1	2.42	0.533	6.22	-52.59	-100.00	2.42	-10000	-10000	
50.16	0.859	19.85	14.15	18.20	13.77	10.28	-10000	1	5.64	0.590	7.15	-57.64	-100.00	5.64	-10000	-10000	
50.16	0.908	19.85	13.74	18.43	15.40	-10000	-10000	1	6.68	0.470	6.79	-51.55	-100.00	6.68	-10000	-10000	
50.16	0.854	20.23	14.30	18.71	15.80	-10000	-10000	1	6.20	0.551	7.14	-54.04	-100.00	6.20	-10000	-10000	
50.16	0.851	19.65	14.34	17.87	15.80	-10000	-10000	1	6.51	0.447	7.91	-50.42	-100.00	6.51	-10000	-10000	
50.79	0.820	19.89	14.85	18.01	16.30	-10000	-10000	1	2.87	0.592	8.81	-55.20	-100.00	2.87	-10000	-10000	
50.00	0.864	19.90	14.59	18.11	16.18	-10000	-10000	1	4.58	0.496	4.10	-51.65	-100.00	4.58	-10000	-10000	
50.79	0.862	20.05	14.42	18.45	14.16	10.16	-10000	1	6.48	0.484	10.50	-53.26	-100.00	6.48	-10000	-10000	
50.63	0.772	19.59	13.43	18.05	15.35	-10000	-10000	1	5.44	0.475	10.36	-51.77	-100.00	5.44	-10000	-10000	
50.00	0.877	20.09	14.18	18.64	15.82	-10000	-10000	1	4.15	0.594	9.51	-55.76	-100.00	4.15	-10000	-10000	
50.00	0.764	31.37	19.52	31.06	23.96	-10000	-10000	1	-4.85	0.357	7.92	-39.64	-100.00	-4.85	-10000	-10000	
50.16	0.766	32.53	20.96	32.21	25.30	-10000	-10000	1	-2.52	0.560	9.22	-44.89	0.50	-2.52	-10000	-10000	
149.53	0.412	20.67	14.38	19.31	14.81	11.62	-10000	1	3.76	0.534	10.65	-54.38	-100.00	3.76	-10000	-10000	
50.47	0.865	20.16	14.66	18.56	14.68	10.87	-10000	1	5.98	0.535	11.04	-54.55	-100.00	5.98	-10000	-10000	
156.86	0.469	20.99	14.79	19.63	16.02	-10000	-10000	1	3.85	0.481	6.64	-51.30	-100.00	3.85	-10000	-10000	
50.31	0.918	22.54	14.19	21.75	14.15	9.50	-10000	1	3.76	0.435	9.79	-51.69	-100.00	3.76	-10000	-10000	
175.82	0.392	21.18	15.67	19.55	14.78	12.70	-10000	1	7.57	0.508	7.97	-53.47	-100.00	7.57	-10000	-10000	
149.53	0.416	23.40	21.53	18.65	21.83	-10000	-10000	1	15.35	0.577	8.55	-49.04	0.38	15.35	-10000	-10000	
149.53	0.448	21.72	18.83	18.35	13.21	17.88	-10000	1	13.36	0.404	4.69	-51.71	-100.00	13.36	-10000	-10000	
49.69	0.863	19.90	15.60	17.60	16.43	-10000	-10000	1	9.90	0.615	7.11	-56.08	-100.00	9.90	-10000	-10000	
50.63	0.730	19.96	14.81	18.08	16.16	-10000	-10000	1	6.85	0.618	6.30	-56.48	-100.00	6.85	-10000	-10000	
50.00	0.924	20.53	15.68	18.68	16.73	-10000	-10000	1	7.08	0.529	7.66	-52.27	-100.00	7.08	-10000	-10000	
152.38	0.422	21.53	16.13	19.56	15.58	11.56	-10000	1	4.59	0.640	6.55	-58.09	-100.00	4.59	-10000	-10000	
50.00	1.033	19.75	14.28	18.10	14.57	10.10	-10000	1	5.90	0.488	9.15	-52.98	-100.00	5.90	-10000	-10000	
158.42	0.552	20.44	14.33	18.75	16.16	-10000	-10000	1	4.75	0.575	8.13	-54.63	-100.00	4.75	-10000	-10000	
155.34	0.405	19.52	15.05	17.44	15.82	-10000	-10000	1	6.29	0.607	8.24	-56.33	-100.00	6.29	-10000	-10000	
156.86	0.402	19.70	14.32	18.04	14.52	10.27	-10000	1	5.97	0.561	6.74	-55.71	-100.00	5.97	-10000	-10000	
142.86	0.385	19.40	14.91	17.15	16.44	-10000	-10000	1	6.11	0.588	7.71	-54.89	-100.00	6.11	-10000	-10000	
51.12	0.850	19.62	14.22	17.84	15.99	-10000	-10000	1	5.22	0.610	7.75	-56.29	-100.00	5.22	-10000	-10000	
77.29	0.420	20.83	13.38	19.15	15.46	-10000	-10000	1	7.23	0.439	9.49	-50.51	-100.00	7.23	-10000	-10000	
51.28	1.067	20.43	13.59	18.94	13.44	9.72	-10000	1	6.13	0.489	10.10	-54.15	-100.00	6.13	-10000	-10000	
49.84	0.610	20.23	15.01	17.36	14.03	10.71	-10000	1	7.59	0.589	11.17	-57.34	-100.00	7.59	-10000	-10000	
50.31	0.915	19.41	13.61	17.64	14.62	-10000	-10000	1	6.85	0.341	7.85	-48.55	-100.00	6.85	-10000	-10000	
50.47	0.842	19.84	13.97	18.01	15.26	-10000	-10000	1	6.69	0.575	8.39	-55.53	-100.00	6.69	-10000	-10000	
-10000	-10000	20.59	14.74	18.79	14.92	11.75	-10000	1	5.51	0.482	6.27	-52.43	-100.00	5.51	-10000	-10000	
50.47	1.077	19.82	14.45	18.10	14.41	10.29	-10000	1	5.38	0.532	5.03	-54.71	-100.00	5.38	-10000	-10000	
152.38	0.307	20.93	14.39	19.09	16.28	-10000	-10000	1	4.12	0.671	7.19	-58.96	-100.00	4.12	-10000	-10000	
52.29	1.015	20.45	13.82	19.07	13.66	10.88	-10000	1	5.48	0.588	8.89	-57.67	-100.00	5.48	-10000	-10000	
76.19	0.488	20.50	14.30	18.54	14.23	10.34	-10000	1	5.91	0.626	5.21	-58.78	-100.00	5.91	-10000	-10000	
49.69	1.092	19.26	13.73	17.57	13.11	9.87	-10000	1	5.68	0.546	7.11	-56.53	-100.00	5.68	-10000	-10000	
163.27	0.353	19.50	14.06	17.41	15.03	-10000	-10000	1	8.72	0.561	8.67	-55.20	-100.00	8.72	-10000	-10000	
49.69	0.951	19.38	14.20	17.59	15.15	-10000	-10000	1	7.53	0.585	8.74	-56.05	0.37	7.53	-10000	-10000	
50.16	0.774	19.75	14.10	18.10	15.18	-10000	-10000	1	5.66	0.576	8.71	-55.65	-100.00	5.66	-10000	-10000	
50.63	0.718	20.72	15.76	18.66	15.39	11.16	-10000	1	4.41	0.629	8.96	-57.76	-100.00	4.41	-10000	-10000	
50.47	0.968	20.49	14.31	19.07	16.00	-10000	-10000	1	2.13	0.598	6.21	-55.76	-100.00	2.13	-10000	-10000	
139.13	0.365	20.67	14.16	19.01	16.17	-10000	-10000	1	5.28	0.519	8.07	-52.47	-100.00	5.28	-10000	-10000	
50.00	0.967	20.64	14.82	19.06	15.35	10.50	-10000	1	3.75	0.509	6.94	-52.93	-100.00	3.75	-10000	-10000	
146.79	0.396	20.58	15.25	18.60	15.29	11.26	-10000	1	4.78	0.605	8.64	-56.77	-100.00	4.78	-10000	-10000	
155.34	0.458	19.69	14.28	18.03	15.57	-10000	-10000	1	4.74	0.537	7.05	-53.73	-100.00	4.74	-10000	-10000	
50.31	0.926	18.70	12.65	17.30	14.40	-10000	-10000	1	5.05	0.591	8.45	-57.06	-100.00	5.05	-10000	-10000	
148.15	0.338	18.96	13.50	17.36	14.32	9.04	-10000	1	2.78	0.599	8.42	-57.48	-100.00	2.78	-10000	-10000	
49.84	1.025	20.05	13.39	18.95	15.23	-10000	-10000	1	2.03	0.458	4.99	-51.34	-100.00	2.03	-10000	-10000	
-10000	-10000	20.29	14.69	18.62	15.86	-10000	-10000	1	4.10	0.413	4.98	-49.32	-100.00	4.10	-10000	-10000	
50.96	1.013	19.23	14.28	17.46	15.36	-10000	-10000	1	8.41	0.536	7.23	-53.90	-100.00	8.41	-10000	-10000	
156.86	0.338	19.93	14.80	17.89	16.21	-10000	-10000	1	5.45	0.527	8.48	-52.72	-100.00	5.45	-10000	-10000	
50.00	1.062	19.98	14.88	18.26	16.36	-10000	-10000	1	2.74	0.570	7.04	-54.23	-100.00	2.74	-10000	-10000	
50.16	0.644	19.51	13.76	17.73	15.00	-10000	-10000	1	2.32	0.534	6.01	-54.19	-100.00	2.32	-10000	-10000	
50.00	0.997	19.54	13.98	17.92	15.50	-10000	-10000	1	0.97	0.652	5.15	-58.76	0.35	0.97	-10000	-10000	
50.47	0.742	19.67	13.29	18.29	15.34	-10000	-10000	1	4.35	0.558	6.59	-54.77	-100.00	4.35	-10000	-10000	
49.84	0.900	19.24	12.67	17.78	14.16	-10000	-10000	1	7.45	0.533	7.90	-54.99	-100.00	7.45	-10000	-10000	
50.63	0.867	19.26	13.19	17.77	12.79	10.05	-10000	1	7.28	0.556	8.84	-57.24	-100.00	7.28	-10000	-10000	
50.31	0.834	18.89	13.45	16.84	13.25	10.07	-10000	1	5.72	0.622	8.70	-59.58	-100.00	5.72	-10000	-10000	
49.54	0.821	19.98	13.78	18.57	15.91	-10000	-10000	1	0.26	0.536	4.33	-53.35	-100.00	0.26	-10000	-10000	
161.62	0.485	21.73	17.27	19.52	14.78	15.72	-10000	1	8.15	0.606	10.30	-57.33	-100.00	8.15	-10000	-10000	
164.95	0.848	24.91	23.66	18.75	23.90	-10000	-10000	1	16.13	0.517	16.00	-44.67	-100.00	16.13	-10000	-10000	
163.27	0.923	27.62	27.00	18.68	18.13	26.57	-10000	0	18.81	0.590	13.15	-53.28	-100.00	18.81	-10000	-10000	
160.00	0.894	27.59	26.79	19.64	16.98	26.61	155.29	13	19.29	0.624	9.44	-55.94	-100.00	19.29	50.97	-10000	
161.62	0.841	27.63	26.99	18.85	16.50	26.76	156.83	13	19.57	0.535	6.69	-52.73	-100.00	19.57	51.14	-10000	
153.85	0.857	31.46	30.41	24.66	24.00	30.24	150.87	12	9.25	0.564	-1.19	-46.35	-100.00	8.06	50.47	-10000	
148.15	0.822	35.63	33.62	31.32	31.42	33.12	146.75	12	4.44	0.613	-4.44	-41.00	-100.00	0.00	49.99	-58.64	
141.59	0.724	37.79	35.10	34.43	35.34	33.51	141.59	12	-1.29	0.529	-7.21	-33.66	-100.00	-8.50	49.37	-60.86	
135.59	0.607	39.11	35.54	36.59	37.23	33.31	137.87	12	-0.58	0.660	-10.68	-37.44	-100.00	-11.26	48.91	-58.95	
131.15	0.669	38.52	35.54	35.47	37.58	24.80	130.06	13	3.42	0.717	-9.12	-40.27	-100.00	-5.70	47.90	-59.81	
130.08	0.708	33.75	31.13	30.29	29.98	29.64	129.01	13	3.26	0.723	-4.72	-48.25	-100.00	-1.46	47.76	-10000	
125.00	0.678	28.37	26.02	24.50	25.32	22.79	126.94	12	2.94	0.660	2.78	-49.35	0.49	2.94	47.48	-10000	fr
118.52	0.754	23.94	20.95	20.64	16.52	19.87	-10000	1	11.21	0.502	10.56	-51.52	-100.00	11.21	-10000	-10000	fr
121.21	0.727	22.93	19.70	19.92	15.54	18.77	-10000	1	11.60	0.558	10.84	-54.57	-100.00	11.60	-10000	-10000	fr
-10000	-10000	22.46	17.94	20.29	19.01	-10000	-10000	1	6.27	0.660	6.09	-55.66	-100.00	6.27	-10000	-10000	fr
52.29	0.599	40.53	37.99	36.99	38.52	-10000	-10000	0	-14.63	0.761	-9.59	-42.27	-100.00	-27.83	-10000	-10000	fr
50.47	0.820	43.01	40.97	38.74	41.52	-10000	-10000	0	-14.66	0.767	-10.14	-39.71	0.55	-27.62	-10000	-10000	fr
-10000	-10000	39.75	33.80	38.47	35.41	-10000	-10000	0	-16.39	0.615	-1.16	-37.10	-100.00	-18.44	-10000	-10000	fr
48.78	0.908	39.54	34.71	37.81	36.28	10.75	-10000	0	-20.19	0.569	4.55	-34.27	-100.00	-20.19	-10000	-10000	fr
177.78	0.412	36.57	32.31	34.53	33.54	-10000	-10000	0	-13.65	0.396	3.96	-31.14	-100.00	-13.65	-10000	-10000	
137.93	0.395	34.01	31.38	30.58	32.44	-10000	-10000	5	-5.65	0.586	1.22	-38.80	-100.00	-5.65	-10000	-10000	
150.94	0.516	34.59	32.88	29.70	33.34	25.41	139.07	12	-5.58	0.543	-3.18	-36.19	-100.00	-8.76	49.06	-10000	
150.94	0.510	35.09	32.97	30.94	33.23	21.49	140.28	12	-11.88	0.479	-1.38	-34.02	-100.00	-13.26	49.21	-10000	
144.14	0.631	33.56	27.50	32.31	28.63	18.71	140.28	12	-4.56	0.607	9.46	-43.52	-100.00	-4.56	49.21	-10000	
148.15	0.688	28.54	20.53	27.78	19.75	18.41	-10000	1	7.69	0.441	15.91	-46.28	-100.00	7.69	-10000	-10000	
150.94	0.684	21.99	18.98	18.74	15.09	17.87	-10000	1	13.12	0.534	14.50	-54.10	-100.00	13.12	-10000	-10000	
155.34	0.489	21.25	17.53	18.66	15.40	14.73	-10000	1	9.54	0.584	12.84	-55.76	-100.00	9.54	-10000	-10000	
158.42	0.404	20.80	15.69	18.95	15.14	12.56	-10000	1	7.36	0.526	12.60	-53.75	-100.00	7.36	-10000	-10000	
50.31	0.834	29.76	25.74	27.55	26.05	10.53	-10000	0	-8.60	0.735	5.76	-52.95	-100.00	-8.60	-10000	-10000	
51.12	0.596	35.85	30.02	34.53	30.69	10.57	-10000	0	-13.10	0.730	0.94	-47.98	-100.00	-14.00	-10000	-10000	
51.95	0.742	38.66	30.96	37.85	32.15	10.61	-10000	0	-14.96	0.528	6.68	-36.82	0.30	-14.96	-10000	-10000	
173.91	0.566	38.54	34.93	36.05	35.06	17.52	-10000	6	-13.04	0.348	9.62	-28.30	-100.00	-13.04	-10000	-10000	
170.21	0.758	35.82	33.07	32.52	32.46	26.94	-10000	0	-1.17	0.599	5.58	-39.34	-100.00	-1.17	-10000	-10000	
172.04	0.911	35.35	34.62	27.24	32.55	31.10	170.13	12	2.64	0.620	-0.82	-40.18	-100.00	1.81	52.55	-10000	
172.04	0.949	35.43	35.00	25.07	24.77	34.78	172.01	13	5.56	0.544	-2.52	-54.36	-100.00	3.04	52.74	-10000	
172.04	0.985	36.38	35.98	25.79	25.74	35.76	172.01	13	3.33	0.575	-3.07	-58.14	-100.00	0.25	52.74	-10000	
172.04	0.988	36.82	36.48	25.57	25.55	36.28	172.01	13	4.02	0.619	-3.86	-59.13	-100.00	0.16	52.74	-5.39	
172.04	0.952	36.07	35.68	25.31	25.43	35.45	170.13	13	7.99	0.627	-4.40	-55.88	-100.00	3.59	52.55	-9.98	
170.21	0.908	35.13	34.70	24.79	25.60	34.36	168.37	13	10.07	0.635	-4.69	-52.25	-100.00	5.38	52.37	-10.59	
168.42	0.948	35.17	34.57	26.27	25.89	34.17	168.37	13	8.67	0.603	-4.26	-54.33	-100.00	4.41	52.37	-9.48	
168.42	0.960	35.44	34.64	27.66	26.93	34.14	166.63	13	8.14	0.645	-3.22	-47.53	-100.00	4.92	52.19	-7.77	
168.42	0.999	35.48	34.85	26.72	26.79	34.39	166.63	13	7.65	0.618	-2.45	-51.62	-100.00	5.20	52.19	-7.84	
166.67	0.990	35.39	34.78	26.51	26.37	34.33	166.63	13	6.79	0.685	-2.06	-53.64	-100.00	4.72	52.19	-10.03	
164.95	0.936	34.33	33.66	25.86	26.72	32.99	164.91	13	6.78	0.612	-1.69	-45.65	-100.00	5.09	52.01	-8.94	
164.95	0.895	32.93	32.20	24.79	25.08	31.59	163.20	13	6.34	0.638	-0.94	-48.50	-100.00	5.41	51.83	-8.75	
164.95	0.934	31.81	31.02	23.98	22.43	30.62	161.61	12	11.04	0.547	-0.41	-47.25	-100.00	10.63	51.66	-6.89	
163.27	0.917	30.78	30.13	22.05	18.94	29.89	163.20	13	13.66	0.531	0.87	-52.01	-100.00	13.66	51.83	-3.84	
163.27	0.964	30.65	30.00	21.95	19.01	29.73	163.20	13	16.22	0.544	3.01	-50.94	-100.00	16.22	51.83	-1.46	
163.27	0.957	30.51	29.75	22.54	17.56	29.56	163.20	13	19.65	0.537	4.54	-51.74	-100.00	19.65	51.83	-2.44	
163.27	0.903	31.16	28.97	27.07	20.74	28.58	161.61	12	14.40	0.469	5.02	-46.18	-100.00	14.40	51.66	-6.40	
163.27	0.807	32.14	27.97	30.02	23.61	27.31	161.61	12	10.03	0.523	3.90	-45.17	-100.00	10.03	51.66	-10000	
160.00	0.788	27.70	26.71	20.52	16.61	26.39	159.94	13	16.57	0.612	1.40	-55.76	-100.00	16.57	51.48	-10000	
156.86	0.562	30.75	24.85	29.44	20.80	23.60	-10000	1	11.32	0.602	-0.73	-51.13	-100.00	10.59	-10000	-10000	
142.86	0.347	30.88	25.25	29.48	22.57	23.06	-10000	6	5.12	0.570	-2.98	-48.02	-100.00	2.14	-10000	-10000	
129.03	0.375	27.34	25.94	21.56	23.05	23.13	-10000	6	1.54	0.558	-0.98	-47.06	-100.00	0.56	-10000	-10000	
124.03	0.513	25.92	24.04	21.25	20.44	21.96	-10000	1	2.99	0.496	-1.51	-47.39	-100.00	1.49	-10000	-10000	
122.14	0.442	24.64	22.45	20.31	18.45	20.72	-10000	1	3.37	0.523	-0.84	-50.33	-100.00	2.53	-10000	-10000	
53.69	0.603	24.22	21.62	20.58	20.05	17.41	-10000	1	1.46	0.582	-1.47	-51.03	-100.00	-0.01	-10000	-10000	
51.78	0.723	22.44	18.79	19.62	17.85	13.84	-10000	1	-0.88	0.560	-2.26	-52.34	-100.00	-3.14	-10000	-10000	
